id_listing,judul,harga,alamat,kamar_tidur,kamar_mandi,garasi/carport,luas_tanah,luas_bangunan
hos13014842,Rumah Villa 2 Lantai Murah + Kolam Renang DP 28 JUTA  Cicilan Ringan,Rp 922 Juta,"Padalarang, Bandung",2,1,1,: 90 m²,: 70 m²
hos18352577,Rumah Dijual Perumahan Cibiru Bandung Bagus Terawat Siap Huni,Rp 500 Juta,"Cibiru, Bandung",2,2,1,: 82 m²,: 75 m²
hos19045066,Rumah Dijual Singgasana Pradana Bandung Nyaman Terawat,"Rp 3,5 Miliar","Singgasana, Bandung",3,2,1,: 200 m²,: 130 m²
hos18465491,"Rumah 2 Lantai Bagus Semi Furnished SHM di Kota Baru Parahyangan, Bandung","Rp 5,5 Miliar","Kota Baru Parahyangan, Bandung",4,3,2,: 350 m²,: 270 m²
hos18974358,"Rumah 2 Lantai Bagus Furnished SHM di Kota Baru Parahyangan, Bandung",Rp 7 Miliar,"Kota Baru Parahyangan, Bandung",4,3,2,: 290 m²,: 196 m²
hos19058656,Rumah 2lt di Padasuka Antapani Dkt Gedungsate Dipatiukur Bandung,Rp 825 Juta,"Padasuka, Bandung",2,2,1,: 72 m²,: 60 m²
hos19050026,"Rumah Cantik di Tatar Simakirana, Kota Baru Parahyangan, Bandung","Rp 2,4 Miliar","Padalarang, Bandung",3,2,1,: 120 m²,: 94 m²
hos18286446,Murah Rumah Terawat Siap Huni Di Istana Kawaluyaan,"Rp 1,1 Miliar","Soekarno Hatta, Bandung",3,3,1,: 147 m²,: 100 m²
hos17276064,Jl Cpt Rumah 2 Lantai Komplek Kiara Sari Asri Buahbatu Bandung,"Rp 1,2 Miliar","Buah Batu, Bandung",6,3,2,: 108 m²,: 150 m²
hos16618941,Jual Cepat Suap Huni   Turangga  Buah Batu Bandung,"Rp 2,35 Miliar","Turangga, Bandung",6,4,1,: 142 m²,: 240 m²
