order,Kecamatan,Latitude,Longitude
169,Andir,-6.919737336,107.5949496
170,Andir,-6.919737325,107.5949495
171,Andir,-6.919720713,107.5947815
172,Andir,-6.919720702,107.5947814
173,Andir,-6.919682567,107.5943956
174,Andir,-6.919682555,107.5943955
175,Andir,-6.919678129,107.5943626
176,Andir,-6.9196231,107.593953
177,Andir,-6.919612846,107.5938766
178,Andir,-6.919612715,107.5938756
179,Andir,-6.919610612,107.5938603
180,Andir,-6.919537511,107.5934311
181,Andir,-6.919537496,107.593431
182,Andir,-6.919484766,107.5929776
183,Andir,-6.919484751,107.5929774
184,Andir,-6.919479628,107.5929459
185,Andir,-6.919479624,107.5929458
186,Andir,-6.919374705,107.5920326
187,Andir,-6.919374693,107.5920325
188,Andir,-6.919330594,107.5915983
189,Andir,-6.91933058,107.5915982
190,Andir,-6.919260629,107.5911513
191,Andir,-6.919260615,107.5911512
192,Andir,-6.919230305,107.5908408
193,Andir,-6.919230293,107.5908407
194,Andir,-6.919165154,107.590296
195,Andir,-6.919165141,107.5902959
196,Andir,-6.919147885,107.5901423
197,Andir,-6.919147872,107.5901422
198,Andir,-6.919122173,107.5899223
199,Andir,-6.91912216,107.5899222
200,Andir,-6.919075602,107.5895252
201,Andir,-6.91907559,107.589525
202,Andir,-6.919030471,107.5891891
203,Andir,-6.919030459,107.5891889
204,Andir,-6.919016265,107.5889941
205,Andir,-6.919016252,107.588994
206,Andir,-6.918945274,107.5885045
207,Andir,-6.918918495,107.5883134
208,Andir,-6.918918482,107.5883133
209,Andir,-6.918895802,107.5880778
210,Andir,-6.91889579,107.5880777
211,Andir,-6.91885974,107.5878119
212,Andir,-6.918808249,107.5874291
213,Andir,-6.918802641,107.5873871
214,Andir,-6.918802629,107.587387
215,Andir,-6.918778204,107.5871569
216,Andir,-6.918778195,107.5871568
217,Andir,-6.918761173,107.586818
218,Andir,-6.918761169,107.5868179
219,Andir,-6.918757957,107.5866655
220,Andir,-6.918757954,107.5866654
221,Andir,-6.918751858,107.5865259
222,Andir,-6.918751851,107.5865258
223,Andir,-6.918743683,107.5864632
224,Andir,-6.918743669,107.5864631
225,Andir,-6.91867525,107.5858589
226,Andir,-6.918675237,107.5858587
227,Andir,-6.91857977,107.5852253
228,Andir,-6.918538661,107.5850007
229,Andir,-6.918538643,107.5850006
230,Andir,-6.918513417,107.584773
231,Andir,-6.918513403,107.5847728
232,Andir,-6.918477748,107.5845309
233,Andir,-6.91845279,107.58435
234,Andir,-6.918452777,107.5843499
235,Andir,-6.91842354,107.5840905
236,Andir,-6.918423531,107.5840904
237,Andir,-6.918416024,107.5839503
238,Andir,-6.918416015,107.5839502
239,Andir,-6.918396014,107.5837624
240,Andir,-6.918396001,107.5837622
241,Andir,-6.918363726,107.5835258
242,Andir,-6.918363713,107.5835257
243,Andir,-6.91832298,107.5831671
244,Andir,-6.918322967,107.583167
245,Andir,-6.918281549,107.5828075
246,Andir,-6.918281536,107.5828074
247,Andir,-6.918235004,107.5824662
248,Andir,-6.918209972,107.5822775
249,Andir,-6.91820996,107.5822774
250,Andir,-6.918184772,107.5820539
